timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1502928000000,301.13,312.18,298.0,302.0,7031,1503014399999,2154660.0,4522,6224.59,1908710.0
1503014400000,302.0,311.79,283.94,293.96,9538,1503100799999,2858950.0,5658,7452.44,2240810.0
1503100800000,293.31,299.9,278.0,290.91,2146,1503187199999,620023.0,1795,1537.98,444714.0
1503187200000,289.41,300.53,282.85,299.1,2510,1503273599999,742848.0,2038,2186.69,647506.0
1503273600000,299.1,346.52,294.6,323.29,5219,1503359999999,1689470.0,3925,4004.2,1297980.0
1503360000000,321.04,330.41,144.21,309.8,7956,1503446399999,2454430.0,6577,4433.78,1364470.0
1503446400000,312.25,324.99,309.41,315.74,8666,1503532799999,2753460.0,8540,2282.24,728207.0
1503532800000,315.74,328.04,314.01,323.42,6753,1503619199999,2159420.0,6495,1901.9,610929.0
1503619200000,323.42,338.28,323.42,327.24,7126,1503705599999,2354160.0,7452,2595.83,859315.0
1503705600000,327.24,335.44,323.41,330.79,4878,1503791999999,1601990.0,4400,941.997,311132.0
1503792000000,332.18,348.13,330.73,348.13,4635,1503878399999,1554480.0,4973,1166.2,392130.0
1503878400000,348.11,351.0,331.95,346.0,4279,1503964799999,1463760.0,4526,1114.26,383474.0
1503964800000,347.0,377.6,346.0,374.7,3032,1504051199999,1102070.0,3265,923.168,334769.0
1504051200000,374.7,393.71,362.05,385.93,4447,1504137599999,1679530.0,4812,1285.38,487838.0
1504137600000,384.64,389.36,377.78,384.79,4436,1504223999999,1704440.0,4574,1432.19,550809.0
1504224000000,386.44,394.39,383.18,388.46,4199,1504310399999,1635230.0,4124,1564.06,609631.0
1504310400000,388.58,394.32,320.08,343.14,8240,1504396799999,2904010.0,8217,2460.67,868487.0
1504396800000,343.56,367.28,320.08,341.77,5254,1504483199999,1801700.0,6153,2240.92,767938.0
1504483200000,339.29,344.55,267.94,283.77,6738,1504569599999,2002450.0,7403,2954.17,877011.0
1504569600000,286.81,321.52,235.55,312.09,8344,1504655999999,2397490.0,8999,4312.97,1251960.0
1504656000000,313.29,336.34,312.09,335.0,5486,1504742399999,1793960.0,7089,2183.65,713126.0
1504742400000,335.01,342.5,320.17,334.49,3104,1504828799999,1027140.0,2635,1321.1,438034.0
1504828800000,334.49,335.1,272.0,302.99,4916,1504915199999,1494310.0,3227,2306.95,698363.0
1504915200000,300.01,307.0,281.66,296.74,2741,1505001599999,813750.0,1956,1755.92,520755.0
1505001600000,296.72,302.78,261.03,293.5,4156,1505087999999,1181900.0,2494,2282.4,651266.0
1505088000000,293.51,304.98,285.21,297.3,4830,1505174399999,1436810.0,3490,2412.24,718383.0
1505174400000,297.78,316.46,286.01,293.96,5176,1505260799999,1573450.0,5279,2207.6,671349.0
1505260800000,293.93,294.5,257.05,276.91,6451,1505347199999,1761080.0,4527,3264.56,890399.0
1505347200000,275.76,283.77,215.0,215.21,12602,1505433599999,3110770.0,8166,4455.24,1100930.0
1505433600000,217.0,270.93,192.0,253.0,14224,1505519999999,3319310.0,9198,5945.81,1386660.0
1505520000000,255.99,271.81,235.51,249.31,10362,1505606399999,2647150.0,8859,3866.6,995005.0
1505606400000,249.32,264.39,239.02,257.55,4615,1505692799999,1149700.0,5277,1442.0,360268.0
1505692800000,257.53,306.22,257.11,294.57,4126,1505779199999,1182940.0,3440,2342.68,669740.0
1505779200000,296.0,300.0,277.41,284.0,1870,1505865599999,535774.0,1896,789.829,226840.0
1505865600000,284.01,294.0,275.91,282.0,1061,1505951999999,302740.0,1431,566.646,162290.0
1505952000000,285.1,287.0,252.1,257.0,1913,1506038399999,516193.0,2751,579.777,156158.0
1506038400000,258.0,272.97,253.01,264.0,1465,1506124799999,382962.0,2144,612.619,160401.0
1506124800000,259.99,286.23,255.11,285.93,2824,1506211199999,788810.0,3901,841.435,233418.0
1506211200000,286.5,294.61,275.0,282.0,5576,1506297599999,1582880.0,8022,1314.53,373570.0
1506297600000,282.0,299.0,281.34,294.42,5870,1506383999999,1705550.0,9165,1950.59,567363.0
1506384000000,294.42,296.81,286.24,287.9,4567,1506470399999,1332130.0,7329,1073.94,313529.0
1506470400000,289.91,313.0,286.13,309.74,5518,1506556799999,1641900.0,8208,1276.46,380606.0
1506556800000,309.81,311.81,296.89,302.44,6601,1506643199999,2009230.0,10534,2210.55,674346.0
1506643200000,302.44,303.0,274.0,292.22,11089,1506729599999,3213720.0,13098,5176.63,1501570.0
1506729600000,292.62,307.49,292.22,304.36,4021,1506815999999,1214460.0,8168,1645.12,497660.0
1506816000000,305.13,306.0,294.0,303.95,5060,1506902399999,1518990.0,8900,1496.74,449595.0
1506902400000,303.94,305.0,295.0,296.5,3711,1506988799999,1116500.0,7454,1398.52,421273.0
1506988800000,298.15,301.99,283.18,292.48,5547,1507075199999,1622460.0,9327,2105.28,616541.0
1507075200000,292.47,297.97,288.0,291.99,4015,1507161599999,1176260.0,7233,2030.8,596758.0
1507161600000,290.0,297.44,285.53,294.81,3412,1507247999999,994768.0,6125,1684.82,492522.0
1507248000000,294.78,310.8,293.78,310.8,3541,1507334399999,1063780.0,6064,1965.18,590730.0
1507334400000,309.9,318.5,303.6,311.01,2166,1507420799999,672027.0,4289,1031.35,320576.0
1507420800000,311.08,317.07,309.0,311.07,2961,1507507199999,923990.0,6247,1069.24,334539.0
1507507200000,311.13,312.13,286.65,297.19,4885,1507593599999,1462520.0,8680,1575.93,472760.0
1507593600000,297.35,308.56,293.0,298.64,6749,1507679999999,2028540.0,9392,3979.86,1200690.0
1507680000000,300.88,305.5,298.02,304.01,3725,1507766399999,1125330.0,4079,1923.8,581977.0
1507766400000,304.01,310.0,302.71,303.99,7828,1507852799999,2397070.0,4956,3436.2,1053320.0
1507852800000,303.52,353.96,297.0,337.96,17925,1507939199999,5832990.0,9898,7538.17,2469530.0
1507939200000,337.96,349.8,335.0,342.0,7732,1508025599999,2655700.0,5703,3790.51,1304250.0
1508025600000,342.0,348.0,316.17,337.96,10011,1508111999999,3326750.0,6822,4957.45,1652290.0
1508112000000,337.5,354.0,332.78,335.19,8663,1508198399999,2956520.0,6586,4424.03,1511170.0
1508198400000,335.18,336.58,312.65,315.19,8147,1508284799999,2638150.0,6837,3297.07,1069520.0
1508284800000,315.19,318.0,284.68,309.7,12908,1508371199999,3915770.0,9801,6592.08,2005600.0
1508371200000,311.52,315.0,300.0,308.66,8679,1508457599999,2675400.0,6769,4110.59,1269510.0
1508457600000,308.66,311.18,302.0,304.51,8739,1508543999999,2667390.0,6812,3042.74,932164.0
1508544000000,304.51,305.34,290.0,298.94,8592,1508630399999,2558680.0,6343,4286.77,1278050.0
1508630400000,298.99,306.99,290.0,293.79,7173,1508716799999,2120550.0,5828,3305.52,977321.0
1508716800000,293.78,294.6,272.2,281.09,9659,1508803199999,2743010.0,6524,5255.49,1493900.0
1508803200000,282.27,310.0,275.5,297.38,14067,1508889599999,4253110.0,8026,8185.37,2480350.0
1508889600000,295.43,300.0,281.0,294.49,9703,1508975999999,2840750.0,6796,4062.96,1191190.0
