open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,symbol
1600732800000,0.85,7.0,0.85,5.7679,18575770.8,1600775999999,103149812.964987,208577,9683053.31,53863765.882925,0,AVAXUSDT
1600776000000,5.7679,6.15,4.0266,5.3193,12866112.36,1600819199999,63565502.458823,167307,6184755.39,30528035.707122,0,AVAXUSDT
1600819200000,5.3279,5.36,3.9169,4.2108,6068891.04,1600862399999,26974618.457686,89978,2835624.39,12610215.285717,0,AVAXUSDT
1600862400000,4.2108,4.6172,3.4,3.535,6551716.97,1600905599999,26180602.411596,78358,3140232.47,12567587.293932,0,AVAXUSDT
1600905600000,3.5305,4.4537,3.4033,4.3179,3757445.37,1600948799999,14732593.263099,55208,1909233.18,7499838.452853,0,AVAXUSDT
1600948800000,4.3132,4.8873,3.75,4.6411,3350398.49,1600991999999,14179940.055609,49598,1573190.26,6676525.989014,0,AVAXUSDT
1600992000000,4.6366,4.8303,4.2001,4.3781,2059805.08,1601035199999,9355817.500992,41952,982821.82,4470301.071958,0,AVAXUSDT
1601035200000,4.3809,5.0234,4.325,4.7134,1826291.63,1601078399999,8554858.595155,36429,956705.21,4489394.579513,0,AVAXUSDT
1601078400000,4.7164,4.82,4.5003,4.5646,782351.25,1601121599999,3628408.861347,16413,389431.47,1808044.259582,0,AVAXUSDT
1601121600000,4.5774,4.7499,4.3294,4.52,1032581.72,1601164799999,4675854.922252,17603,527197.62,2388992.424179,0,AVAXUSDT
1601164800000,4.5214,4.7134,4.25,4.293,779759.18,1601207999999,3493156.191104,14579,358640.17,1610863.719433,0,AVAXUSDT
1601208000000,4.293,4.7,4.1068,4.6484,720375.38,1601251199999,3133021.214355,11288,398076.39,1734221.777388,0,AVAXUSDT
1601251200000,4.6485,4.705,4.1866,4.3429,612301.47,1601294399999,2684934.777677,11316,315503.49,1383516.842722,0,AVAXUSDT
1601294400000,4.3429,4.4489,4.1667,4.2021,598144.91,1601337599999,2596876.134769,9587,271977.29,1181456.825561,0,AVAXUSDT
