open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,symbol
1596240000000,20.6637,21.25,20.5753,20.952,1334555.48,1596283199999,27915288.457184,86379,725665.62,15170355.823171,0,BNBUSDT
1596283200000,20.9498,21.74,20.51,21.6168,1323387.37,1596326399999,27972582.261243,99515,687946.02,14571168.880438,0,BNBUSDT
1596326400000,21.6204,22.1832,19.1,20.1747,2613135.07,1596369599999,54666848.66942,163551,1222375.71,25700604.422985,0,BNBUSDT
1596369600000,20.1744,21.0252,20.0277,20.9898,739762.39,1596412799999,15268072.061635,61183,411215.49,8490933.753555,0,BNBUSDT
1596412800000,20.9899,22.5,20.7,22.4052,1564844.18,1596455999999,33650662.855125,88199,928282.37,19943493.070934,0,BNBUSDT
1596456000000,22.4051,22.4924,21.53,22.0504,1103500.84,1596499199999,24440166.216111,88330,512794.69,11361502.074225,0,BNBUSDT
1596499200000,22.0622,22.41,21.41,21.6441,1284575.39,1596542399999,28341776.146567,77409,689560.33,15224756.085624,0,BNBUSDT
1596542400000,21.6425,22.4433,21.5621,22.2818,1109174.35,1596585599999,24434617.95657,64384,452923.02,9980023.569479,0,BNBUSDT
1596585600000,22.2967,23.54,22.0566,23.4965,2322783.79,1596628799999,53448910.553335,123836,1214915.0,27938787.308291,0,BNBUSDT
1596628800000,23.4968,23.5219,22.7326,23.2728,1375533.72,1596671999999,31904744.779798,107368,635692.31,14745186.055301,0,BNBUSDT
1596672000000,23.2685,23.2811,22.6793,23.0214,1064586.79,1596715199999,24454139.705817,70742,563248.07,12935911.879099,0,BNBUSDT
1596715200000,23.0266,23.315,22.5,22.7487,1378354.47,1596758399999,31595926.613252,93679,529694.97,12159031.516832,0,BNBUSDT
1596758400000,22.7488,22.9999,22.4,22.7551,1051824.73,1596801599999,23901920.615876,67249,547697.03,12451613.979803,0,BNBUSDT
1596801600000,22.7527,22.8714,21.4515,22.3323,1718950.78,1596844799999,38247778.921963,119660,773985.69,17220294.756379,0,BNBUSDT
1596844800000,22.3323,22.5404,21.8571,22.5303,992553.49,1596887999999,21948763.051932,60105,628308.95,13892363.006475,0,BNBUSDT
1596888000000,22.5377,22.9241,22.3793,22.9234,1416308.91,1596931199999,32045569.466553,73680,480111.17,10863009.844213,0,BNBUSDT
1596931200000,22.923,22.9233,22.3159,22.5359,985027.33,1596974399999,22346545.726118,63417,567437.54,12876979.695434,0,BNBUSDT
1596974400000,22.5359,22.5892,22.0462,22.422,1127150.84,1597017599999,25204676.839691,74463,453213.46,10135036.614888,0,BNBUSDT
1597017600000,22.4224,22.77,22.0462,22.4108,1136817.81,1597060799999,25590720.621892,100928,555353.26,12506836.269128,0,BNBUSDT
1597060800000,22.4108,22.638,22.24,22.6369,972110.61,1597103999999,21863998.373508,101720,459075.15,10327372.022607,0,BNBUSDT
1597104000000,22.6369,22.7306,21.7513,22.1141,1293130.21,1597147199999,28852841.025715,135890,630848.27,14085514.071096,0,BNBUSDT
1597147200000,22.1141,22.1176,20.66,21.2902,1918413.23,1597190399999,40907477.518536,166206,928028.43,19789880.534567,0,BNBUSDT
1597190400000,21.2993,21.9446,20.571,21.6972,1558382.42,1597233599999,33109956.145178,125008,798432.32,16972357.647158,0,BNBUSDT
1597233600000,21.6986,21.982,21.4,21.4919,897261.6,1597276799999,19476060.231983,84883,428816.89,9312373.599836,0,BNBUSDT
1597276800000,21.4919,21.6443,20.64,21.2092,1645524.58,1597319999999,34869250.317036,123621,909475.38,19260479.287132,0,BNBUSDT
1597320000000,21.2079,21.856,20.7963,21.7667,1433693.13,1597363199999,30585484.222721,112140,738007.93,15752170.533802,0,BNBUSDT
1597363200000,21.7751,22.8584,21.26,22.6291,1884581.13,1597406399999,41512154.59118,138893,960358.77,21152670.100134,0,BNBUSDT
1597406400000,22.635,23.3019,22.5085,23.1047,1935633.79,1597449599999,44449252.423727,175999,1037446.89,23825692.349708,0,BNBUSDT
1597449600000,23.0966,23.7884,22.8433,23.2616,1704113.23,1597492799999,39748076.756822,125463,820153.03,19133825.79363,0,BNBUSDT
1597492800000,23.261,23.4765,22.7,23.0881,1048046.83,1597535999999,24254882.207585,98199,523545.92,12120843.702518,0,BNBUSDT
1597536000000,23.1045,23.399,22.7508,22.8726,1314322.22,1597579199999,30412248.688879,103293,573304.45,13258381.939189,0,BNBUSDT
1597579200000,22.8729,23.779,22.7,23.529,1391501.53,1597622399999,32490659.802524,111632,814458.09,19027045.601448,0,BNBUSDT
1597622400000,23.5291,23.6165,22.9916,23.1546,1084457.27,1597665599999,25145275.142463,76369,476123.93,11045090.733042,0,BNBUSDT
1597665600000,23.1592,23.91,22.9584,23.4961,1339026.83,1597708799999,31418526.861268,110980,710619.33,16684977.091866,0,BNBUSDT
1597708800000,23.4868,23.78,23.0936,23.1096,1132337.81,1597751999999,26560371.50374,82913,495462.36,11625605.537138,0,BNBUSDT
1597752000000,23.1042,23.375,22.333,22.9705,1399421.47,1597795199999,32161663.946533,108115,675732.13,15547556.05921,0,BNBUSDT
1597795200000,22.9802,23.25,21.9622,22.5953,1311004.06,1597838399999,29641622.678521,105216,641084.11,14518694.935245,0,BNBUSDT
1597838400000,22.5976,22.8277,21.8219,22.3761,817069.97,1597881599999,18276820.95656,83441,412574.68,9238440.518314,0,BNBUSDT
1597881600000,22.3817,22.6128,22.0265,22.4391,845717.36,1597924799999,18887468.592397,61776,339657.74,7596483.801688,0,BNBUSDT
1597924800000,22.4396,23.3,22.39,23.0888,1401146.66,1597967999999,32306961.610951,95712,674704.29,15549515.051513,0,BNBUSDT
1597968000000,23.0909,23.32,22.38,22.475,1161010.08,1598011199999,26622781.586769,109538,490825.92,11260221.370364,0,BNBUSDT
1598011200000,22.4749,22.7009,21.5,22.0988,1332186.43,1598054399999,29684786.114392,123302,633063.86,14116630.774703,0,BNBUSDT
1598054400000,22.0994,22.2285,21.2814,21.8973,946865.51,1598097599999,20673608.716227,92604,457324.62,9986207.261818,0,BNBUSDT
1598097600000,21.9,22.2464,21.6692,22.2044,945212.1,1598140799999,20870586.041739,65256,365709.42,8070391.156861,0,BNBUSDT
1598140800000,22.201,22.2348,21.2841,21.5583,1050197.54,1598183999999,23005121.266791,70252,458140.61,10031220.189241,0,BNBUSDT
1598184000000,21.5592,21.9999,21.5447,21.8555,568795.06,1598227199999,12411424.002268,51347,291264.48,6355106.361162,0,BNBUSDT
1598227200000,21.8575,22.9746,21.6655,22.7556,1242363.67,1598270399999,27771386.290017,78776,659248.54,14721297.62617,0,BNBUSDT
1598270400000,22.756,22.868,22.3137,22.5953,635380.37,1598313599999,14323676.525394,57657,315738.79,7118643.513794,0,BNBUSDT
1598313600000,22.6016,22.6415,21.9619,22.4005,941088.6,1598356799999,20963765.228251,68275,484087.14,10790996.663137,0,BNBUSDT
1598356800000,22.4081,22.4193,20.9805,21.3882,1330192.28,1598399999999,28650878.834043,119359,626833.76,13512240.671159,0,BNBUSDT
1598400000000,21.3881,22.4661,21.2651,22.222,1375911.41,1598443199999,30291555.869612,101154,724283.78,15945598.455859,0,BNBUSDT
1598443200000,22.2214,22.4743,21.705,22.1999,1124251.5,1598486399999,25002524.105993,80988,574139.33,12772124.21114,0,BNBUSDT
1598486400000,22.2005,22.9,22.07,22.4429,1374319.39,1598529599999,30808197.95353,81846,697200.18,15631141.455056,0,BNBUSDT
1598529600000,22.4464,23.1507,21.8064,23.1127,1553425.5,1598572799999,34929938.42967,121727,793735.81,17858588.415603,0,BNBUSDT
1598572800000,23.1127,23.5846,22.7574,22.813,1767935.12,1598615999999,40908669.427551,109190,955056.91,22093400.21944,0,BNBUSDT
1598616000000,22.8208,23.1721,22.6158,23.0811,777510.63,1598659199999,17805814.401906,73104,403185.95,9236095.3498,0,BNBUSDT
1598659200000,23.0783,23.5,22.7416,23.1232,896969.07,1598702399999,20745764.715121,61373,422257.67,9764952.517244,0,BNBUSDT
1598702400000,23.1232,23.49,22.9,22.9398,957516.65,1598745599999,22233311.446569,64823,370890.65,8617432.65585,0,BNBUSDT
1598745600000,22.9441,23.213,22.9,23.1168,812122.38,1598788799999,18721310.513179,59816,417597.88,9626700.481271,0,BNBUSDT
1598788800000,23.1158,23.83,23.029,23.6208,1096368.29,1598831999999,25773213.485902,87684,565008.67,13277867.374271,0,BNBUSDT
1598832000000,23.625,23.9,23.09,23.3503,940893.94,1598875199999,22079604.722765,75742,476771.03,11196436.795714,0,BNBUSDT
1598875200000,23.3505,23.4217,22.967,23.1477,826493.84,1598918399999,19204252.489334,78489,416179.67,9671666.550885,0,BNBUSDT
1598918400000,23.1481,23.777,22.84,23.0576,1655322.46,1598961599999,38555115.862707,132749,783448.18,18257062.746164,0,BNBUSDT
1598961600000,23.0646,25.41,22.901,24.7028,2787651.64,1599004799999,67169189.486143,201298,1557672.59,37568001.292566,0,BNBUSDT
1599004800000,24.7101,25.8262,23.1215,24.1624,3389436.02,1599047999999,84541666.950671,202784,1701865.43,42507747.804035,0,BNBUSDT
1599048000000,24.1713,24.897,23.8063,24.7652,2490132.27,1599091199999,60742163.909931,161456,1280093.18,31235217.88368,0,BNBUSDT
1599091200000,24.7653,25.54,23.53,23.8654,3234553.36,1599134399999,80029135.863671,179025,1633605.07,40418008.026101,0,BNBUSDT
1599134400000,23.8777,24.0197,19.8765,20.3592,3996782.85,1599177599999,88900424.684246,233565,1836137.13,40964526.906577,0,BNBUSDT
1599177600000,20.4027,21.636,19.5,21.3937,3058668.64,1599220799999,63357050.248289,161827,1525037.3,31614066.253562,0,BNBUSDT
1599220800000,21.3926,21.83,19.2,20.9712,2247524.38,1599263999999,46676431.196494,119594,1100709.58,22856121.666431,0,BNBUSDT
1599264000000,20.9995,21.5539,19.123,19.5692,1836642.37,1599307199999,37562221.400195,100344,881734.37,18073305.991982,0,BNBUSDT
1599307200000,19.5757,19.8616,18.011,19.4698,2752541.78,1599350399999,52394562.650803,142179,1272510.68,24246752.954116,0,BNBUSDT
1599350400000,19.4737,22.87,18.5283,22.2782,5122727.81,1599393599999,107412518.353212,194279,2568355.11,53814561.05212,0,BNBUSDT
1599393600000,22.2865,23.4418,21.8,23.142,2982430.47,1599436799999,67560744.924067,143620,1484218.43,33647028.273142,0,BNBUSDT
1599436800000,23.1612,23.5545,21.1,21.4351,2951124.13,1599479999999,65438572.201365,137507,1461402.7,32443618.30626,0,BNBUSDT
1599480000000,21.4478,22.461,20.0,22.4426,2503098.78,1599523199999,53423366.093758,122537,1246281.3,26653770.216261,0,BNBUSDT
1599523200000,22.4428,23.125,21.2739,21.4936,2600542.89,1599566399999,58013689.205543,134850,1319812.72,29459649.536927,0,BNBUSDT
1599566400000,21.5034,23.42,21.274,23.2837,2558021.09,1599609599999,57727685.922198,157463,1286112.5,29045353.48285,0,BNBUSDT
1599609600000,23.2745,24.0487,22.4139,23.6386,2426672.63,1599652799999,56872163.998269,125834,1230908.72,28864644.705207,0,BNBUSDT
1599652800000,23.6385,24.5201,23.1601,24.4716,1589779.88,1599695999999,37969514.356964,109062,816545.96,19483443.446854,0,BNBUSDT
1599696000000,24.4847,25.2,24.0568,25.0772,2102195.49,1599739199999,51652098.315312,120526,1100770.55,27061008.69541,0,BNBUSDT
1599739200000,25.0729,25.67,24.1974,24.5489,2097132.06,1599782399999,52325915.497855,139274,1048223.44,26183863.637529,0,BNBUSDT
1599782400000,24.5579,24.5579,23.0677,23.34,1461687.17,1599825599999,34623427.505412,106911,712871.09,16891055.463616,0,BNBUSDT
1599825600000,23.3318,25.6969,23.3318,25.399,2160917.9,1599868799999,53653207.101848,114125,1060209.58,26324482.797588,0,BNBUSDT
1599868800000,25.4,27.9995,25.3575,27.6406,4367541.04,1599911999999,116114732.882578,227760,2158705.28,57459179.964495,0,BNBUSDT
1599912000000,27.6406,28.5305,26.6755,28.505,2171138.79,1599955199999,59692474.070962,141848,1077992.62,29657533.629018,0,BNBUSDT
1599955200000,28.5044,32.4401,27.61,29.1989,6127481.52,1599998399999,187484879.351323,314004,3012778.26,92251077.538453,0,BNBUSDT
1599998400000,29.1938,31.4164,28.8954,31.1656,4518734.14,1600041599999,136677369.389418,259499,2235559.22,67645779.581733,0,BNBUSDT
1600041600000,31.1656,32.988,29.0,32.7131,4110853.65,1600084799999,127202708.947693,225016,2044797.89,63300212.717974,0,BNBUSDT
1600084800000,32.7131,33.3888,29.3366,31.2523,4928790.67,1600127999999,155665322.31785,276941,2536727.22,80094009.621513,0,BNBUSDT
1600128000000,31.2546,31.278,27.9697,29.0659,5227033.197,1600171199999,152555587.2468513,289836,2571326.695,75034928.3680817,0,BNBUSDT
1600171200000,29.0646,29.3377,26.7123,27.1181,2704321.449,1600214399999,75872282.8916476,191428,1263766.305,35435298.8056444,0,BNBUSDT
1600214400000,27.1148,27.6995,25.82,27.0304,3254817.938,1600257599999,87422184.2368068,208300,1565150.119,42074911.1494013,0,BNBUSDT
1600257600000,27.03,28.4724,26.9181,27.8695,2522601.814,1600300799999,70427713.1667816,162435,1234466.313,34451785.828199,0,BNBUSDT
1600300800000,27.8539,28.83,26.2728,26.8045,2969949.914,1600343999999,82106235.1162941,189076,1450762.867,40136550.5665004,0,BNBUSDT
1600344000000,26.8042,27.1199,26.05,27.095,1650568.96,1600387199999,43817394.9029683,121313,851814.86,22621068.0995479,0,BNBUSDT
1600387200000,27.1106,28.75,27.0015,28.1747,2709022.139,1600430399999,75264662.3407577,187968,1467889.672,40821242.880186,0,BNBUSDT
1600430400000,28.1743,28.22,26.5708,27.629,1534113.86,1600473599999,41923506.7426869,136553,730391.362,19959263.7828377,0,BNBUSDT
1600473600000,27.6414,27.977,26.6591,27.4343,1440060.902,1600516799999,39142208.8388461,104584,798734.097,21718280.7289202,0,BNBUSDT
1600516800000,27.448,27.7187,27.0,27.2035,991456.248,1600559999999,27067197.0885319,90686,480757.857,13128506.8471539,0,BNBUSDT
1600560000000,27.2035,27.32,26.789,27.0778,1055112.429,1600603199999,28472054.5992536,76817,573118.976,15466216.9596099,0,BNBUSDT
1600603200000,27.0895,27.1039,25.1247,26.316,1799149.716,1600646399999,46808184.8785511,148642,828041.905,21546286.8043828,0,BNBUSDT
1600646400000,26.3167,26.68,23.55,24.0583,2463000.525,1600689599999,61830486.4105283,170132,1177457.019,29673789.7924919,0,BNBUSDT
1600689600000,24.0583,24.4446,22.1,23.1232,2788421.718,1600732799999,65317259.0041678,186590,1314291.393,30799987.8600632,0,BNBUSDT
1600732800000,23.1273,24.2801,22.6666,23.925,2023269.765,1600775999999,47644803.1215895,123633,1027531.558,24215177.9302679,0,BNBUSDT
1600776000000,23.925,24.565,23.7374,24.0468,1266297.158,1600819199999,30509898.3840857,77641,651344.338,15700318.4169673,0,BNBUSDT
