open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,symbol
1596240000000,58.13,60.76,57.55,59.86,618695.80393,1596283199999,36878007.1929934,65355,315960.02039,18835524.1144742,0,LTCUSDT
1596283200000,59.86,62.23,58.65,61.65,591076.50292,1596326399999,35872829.7989996,65836,299558.17609,18184060.3693638,0,LTCUSDT
1596326400000,61.65,65.17,51.79,56.57,1262575.2185,1596369599999,74817620.0027404,161906,612615.16046,36317669.3472979,0,LTCUSDT
1596369600000,56.58,58.15,55.32,56.77,548615.37344,1596412799999,31310461.2632627,58267,268248.0435,15309621.4571953,0,LTCUSDT
1596412800000,56.77,58.34,55.71,58.24,330324.74759,1596455999999,18952094.0776245,36155,163399.93275,9379403.1933013,0,LTCUSDT
1596456000000,58.23,60.03,57.67,58.48,494716.11524,1596499199999,29090139.8029084,54401,241395.59787,14202857.185287,0,LTCUSDT
1596499200000,58.51,59.62,56.7,57.34,371326.95955,1596542399999,21606795.7502229,39892,180987.89326,10534588.5404199,0,LTCUSDT
1596542400000,57.31,58.06,56.26,57.61,254228.65462,1596585599999,14587213.3928313,28019,124843.51571,7165570.7660134,0,LTCUSDT
1596585600000,57.62,59.25,56.73,59.09,276600.77054,1596628799999,16080187.4438062,30773,141116.11357,8206039.2153086,0,LTCUSDT
1596628800000,59.09,59.77,57.3,58.88,439764.70419,1596671999999,25898035.5344357,49630,209640.33398,12349733.0986055,0,LTCUSDT
1596672000000,58.88,59.16,57.69,58.12,245578.84317,1596715199999,14337819.547992,28735,119583.78304,6981598.6198911,0,LTCUSDT
1596715200000,58.12,60.68,58.12,59.03,576998.50217,1596758399999,34358180.1408756,58794,282855.08496,16839042.8558488,0,LTCUSDT
1596758400000,59.03,61.08,58.82,59.76,314144.22384,1596801599999,18799550.9072251,38167,157002.95717,9401173.9024106,0,LTCUSDT
1596801600000,59.74,60.02,54.51,57.17,583767.21677,1596844799999,33589764.9829839,65355,267443.53338,15403658.723219,0,LTCUSDT
1596844800000,57.19,58.48,56.46,58.38,241614.23222,1596887999999,13852365.5069834,27735,126368.89424,7245781.3563686,0,LTCUSDT
1596888000000,58.38,58.55,57.11,58.46,186603.47108,1596931199999,10796230.2418045,25439,90527.26588,5237805.3518915,0,LTCUSDT
1596931200000,58.46,58.67,56.91,57.72,181851.4669,1596974399999,10526376.3785876,23665,88189.31041,5107006.1830228,0,LTCUSDT
1596974400000,57.72,57.8,56.0,56.96,186995.22682,1597017599999,10628016.1369072,25737,91222.01007,5184148.5644274,0,LTCUSDT
1597017600000,56.96,58.55,56.38,57.3,340523.52858,1597060799999,19684941.835026,38068,175190.09605,10130154.0726215,0,LTCUSDT
1597060800000,57.3,59.4,57.16,58.27,310625.26607,1597103999999,18082832.1519683,35526,153693.23378,8952237.3268072,0,LTCUSDT
1597104000000,58.27,59.67,56.74,57.74,359293.17056,1597147199999,20868437.3264983,37771,169946.857,9868584.8245755,0,LTCUSDT
1597147200000,57.75,57.75,52.37,54.1,528305.54872,1597190399999,29069481.9035373,62888,241997.59428,13315545.1620003,0,LTCUSDT
1597190400000,54.11,55.03,51.55,54.49,364892.13435,1597233599999,19585606.2255452,41789,189094.85884,10155348.1996827,0,LTCUSDT
1597233600000,54.5,55.05,53.87,54.52,280200.36487,1597276799999,15275619.973789,30562,131983.86474,7198631.1868321,0,LTCUSDT
1597276800000,54.54,55.22,51.86,54.51,371804.80525,1597319999999,20035829.6527066,44056,184970.01715,9970100.8886131,0,LTCUSDT
1597320000000,54.49,57.3,53.32,57.14,465305.10194,1597363199999,25653076.3440925,48856,235105.95685,12966847.2936337,0,LTCUSDT
1597363200000,57.14,57.36,55.83,56.48,284797.49719,1597406399999,16066294.8065268,29760,136946.88295,7726716.40895,0,LTCUSDT
1597406400000,56.5,57.85,55.82,56.78,443514.80328,1597449599999,25299398.4634271,44005,223064.84785,12728726.8605523,0,LTCUSDT
1597449600000,56.78,58.32,56.45,57.32,406107.24994,1597492799999,23324034.2839708,37727,200825.8751,11538676.4030158,0,LTCUSDT
1597492800000,57.33,60.87,56.7,59.85,731687.87268,1597535999999,43412534.2363412,69066,371885.80484,22075193.071387,0,LTCUSDT
1597536000000,59.85,62.93,58.91,60.24,806674.09468,1597579199999,49582582.9557351,73045,387357.37407,23829081.0521366,0,LTCUSDT
1597579200000,60.25,64.6,57.8,63.87,770223.49787,1597622399999,47417791.9840024,79790,399815.44166,24645299.6313676,0,LTCUSDT
1597622400000,63.89,65.02,61.34,64.47,761290.14307,1597665599999,48386796.4622249,76185,368570.83668,23437039.9878306,0,LTCUSDT
1597665600000,64.47,68.88,62.61,67.22,1029523.65969,1597708799999,67859145.3230266,109281,535638.94228,35338614.2721008,0,LTCUSDT
1597708800000,67.22,68.37,64.42,64.61,606503.1395,1597751999999,40496353.1677138,66675,291384.76339,19464101.3510519,0,LTCUSDT
1597752000000,64.61,68.0,63.37,65.4,956407.27433,1597795199999,62821458.7746028,98273,471658.24651,30979447.4253105,0,LTCUSDT
1597795200000,65.42,67.15,61.13,63.1,811008.9053,1597838399999,51395995.6471501,82273,393914.67608,24960535.3702352,0,LTCUSDT
1597838400000,63.1,63.83,58.73,62.12,888315.48199,1597881599999,54301904.3783239,81903,425055.00328,26004561.1726003,0,LTCUSDT
1597881600000,62.08,63.45,61.0,62.48,482640.96495,1597924799999,30053611.863874,51480,229866.60928,14320133.8154577,0,LTCUSDT
1597924800000,62.5,63.68,62.17,62.8,384936.39269,1597967999999,24172785.4382822,41852,190401.8724,11957369.6458967,0,LTCUSDT
1597968000000,62.8,63.9,60.7,61.12,489934.21467,1598011199999,30590309.0668592,53169,238077.66374,14871083.0272691,0,LTCUSDT
