open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,symbol
1596240000000,11335.46,11389.0,11220.0,11266.97,4877.906569,1596247199999,55056690.19975776,72582,1958.623646,22102650.85944941,0,BTCUSDT
1596247200000,11266.97,11405.93,11258.71,11366.16,4782.82826,1596254399999,54255575.18551862,66393,1885.214944,21393873.73617999,0,BTCUSDT
1596254400000,11366.16,11647.96,11335.0,11603.21,10916.488425,1596261599999,125292133.62189682,133316,6010.465319,69039233.85106894,0,BTCUSDT
1596261600000,11603.21,11745.0,11553.76,11657.35,10362.286757,1596268799999,120686867.22064015,127257,4984.409263,58065723.86600348,0,BTCUSDT
1596268800000,11657.34,11725.0,11628.91,11702.63,6286.809074,1596275999999,73431643.78059667,86345,3137.43829,36651804.04698065,0,BTCUSDT
1596276000000,11702.64,11730.92,11552.5,11657.0,7160.630388,1596283199999,83346261.03591454,96222,2792.90022,32518787.0751593,0,BTCUSDT
1596283200000,11657.0,11698.88,11490.0,11531.21,7342.275094,1596290399999,85169416.10875475,100689,3209.672689,37236471.61744018,0,BTCUSDT
1596290400000,11531.21,11634.19,11503.26,11632.89,4842.096235,1596297599999,56061200.56406597,76003,2549.492114,29518675.51901729,0,BTCUSDT
1596297600000,11632.89,11736.0,11604.6,11732.02,6887.309111,1596304799999,80398433.5293339,103395,3589.146338,41905932.00246783,0,BTCUSDT
1596304800000,11732.62,11850.0,11561.0,11769.59,10590.63924,1596311999999,124080245.95267144,122856,5574.880962,65353312.24493128,0,BTCUSDT
1596312000000,11769.09,11861.0,11653.06,11755.0,6292.124787,1596319199999,74213083.73192172,105923,2885.894182,34044423.66643048,0,BTCUSDT
1596319200000,11755.0,11820.61,11696.16,11801.17,4746.091186,1596326399999,55825466.38756022,83271,1945.595557,22883591.52600586,0,BTCUSDT
1596326400000,11801.17,11942.55,11740.0,11942.55,6579.774985,1596333599999,77911323.35385785,102513,3090.260014,36604263.25644216,0,BTCUSDT
1596333600000,11942.54,12000.0,11870.0,12000.0,7531.838302,1596340799999,89889665.04080956,110350,3914.406574,46728777.40109737,0,BTCUSDT
1596340800000,11999.96,12123.46,10518.5,11252.14,30709.977318,1596347999999,348414314.9707033,364073,14109.419453,160674669.04995918,0,BTCUSDT
1596348000000,11251.76,11371.51,11202.0,11323.78,7314.200776,1596355199999,82719053.83448175,127972,3275.749894,37042355.94586211,0,BTCUSDT
1596355200000,11325.95,11342.83,11227.24,11306.81,5889.213052,1596362399999,66532586.87789833,94977,2643.797413,29865639.74808471,0,BTCUSDT
