open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,symbol
1596240000000,0.0032204,0.0032386,0.0032001,0.0032048,33760031.0,1596247199999,108556.794122,495,14554970.0,46815.1961978,0,DOGEUSDT
1596247200000,0.0032112,0.00327,0.0032067,0.0032557,61351672.0,1596254399999,198535.8669731,1115,27935752.0,90388.6259193,0,DOGEUSDT
1596254400000,0.0032583,0.0032866,0.0032442,0.0032551,70322286.0,1596261599999,229586.2436001,980,37701254.0,123092.418726,0,DOGEUSDT
1596261600000,0.003255,0.003414,0.0032437,0.0034075,239905690.0,1596268799999,799967.7269991,3453,129981408.0,433192.2647145,0,DOGEUSDT
1596268800000,0.003404,0.0039,0.0034025,0.0037317,1549138230.0,1596275999999,5703947.6306533,17912,799233140.0,2939984.3349584,0,DOGEUSDT
1596276000000,0.0037341,0.0037422,0.0036109,0.003685,576672223.0,1596283199999,2113908.9943662,6863,303563027.0,1112151.1441055,0,DOGEUSDT
1596283200000,0.003692,0.0037405,0.0035645,0.0035765,372647881.0,1596290399999,1356618.5442538,5144,199885614.0,727973.8244894,0,DOGEUSDT
1596290400000,0.0035766,0.0037475,0.0035678,0.0036575,621035975.0,1596297599999,2283511.4506109,6490,290942434.0,1069478.1923786,0,DOGEUSDT
1596297600000,0.0036582,0.0036894,0.0036087,0.003652,204101881.0,1596304799999,744690.6989643,2963,113824060.0,415711.6675327,0,DOGEUSDT
1596304800000,0.003652,0.0037375,0.0036,0.003692,165474126.0,1596311999999,606912.8705518,2836,84318896.0,309170.4750958,0,DOGEUSDT
1596312000000,0.0036969,0.0037969,0.0036333,0.0036505,266424544.0,1596319199999,994366.449368,3589,152155675.0,568662.3171606,0,DOGEUSDT
1596319200000,0.0036438,0.0037605,0.003624,0.0037144,137889833.0,1596326399999,509293.1640543,2255,79526633.0,293679.1925765,0,DOGEUSDT
1596326400000,0.0037096,0.0037754,0.0036483,0.0036913,276193608.0,1596333599999,1025106.3886575,3704,145579266.0,540435.4760024,0,DOGEUSDT
1596333600000,0.0036913,0.0036973,0.0035281,0.0036022,429764813.0,1596340799999,1556536.8577769,4747,233431006.0,846154.4135003,0,DOGEUSDT
1596340800000,0.0036049,0.0036198,0.0031,0.0034054,555079495.0,1596347999999,1872756.1389593,8593,274901930.0,928192.5012199,0,DOGEUSDT
1596348000000,0.0034079,0.0034612,0.0033501,0.0034437,169874685.0,1596355199999,576879.3669793,2739,89495931.0,303866.7000235,0,DOGEUSDT
1596355200000,0.0034437,0.0034468,0.0033686,0.0033992,111625057.0,1596362399999,380438.3802246,1454,46479899.0,158675.542141,0,DOGEUSDT
1596362400000,0.0033957,0.0034048,0.0032347,0.0032929,151696968.0,1596369599999,505927.9157457,2804,74487838.0,248607.6733421,0,DOGEUSDT
1596369600000,0.0032866,0.0034,0.0032601,0.0033846,140561679.0,1596376799999,470561.0896301,1897,77324301.0,258982.2192285,0,DOGEUSDT
1596376800000,0.0033842,0.0033874,0.0033,0.0033083,87348455.0,1596383999999,292610.9464894,973,41977059.0,140912.2616189,0,DOGEUSDT
1596384000000,0.0033078,0.0033858,0.0032967,0.0033498,200612988.0,1596391199999,671414.4499719,2100,114550552.0,383435.4359687,0,DOGEUSDT
1596391200000,0.0033558,0.0033769,0.0033237,0.0033476,66195384.0,1596398399999,222031.4978572,863,30708733.0,103016.9605236,0,DOGEUSDT
1596398400000,0.0033538,0.0033955,0.003311,0.0033598,89309307.0,1596405599999,299555.0109702,1253,49468766.0,166097.3653435,0,DOGEUSDT
1596405600000,0.0033598,0.0033786,0.0033223,0.0033312,59084579.0,1596412799999,197729.8063798,797,26562682.0,88939.3259103,0,DOGEUSDT
1596412800000,0.0033351,0.003355,0.0032995,0.0033311,95116187.0,1596419999999,316773.2246217,1373,32426697.0,108030.3831171,0,DOGEUSDT
1596420000000,0.0033334,0.0034115,0.0033246,0.0033892,122199656.0,1596427199999,412069.7882993,1218,64778981.0,218347.1757359,0,DOGEUSDT
1596427200000,0.0033976,0.0034468,0.003368,0.0034029,95257648.0,1596434399999,324604.2028324,1291,42838448.0,145989.370958,0,DOGEUSDT
1596434400000,0.0034027,0.003435,0.0033931,0.0034102,55493127.0,1596441599999,189343.110037,893,25530569.0,87131.1676166,0,DOGEUSDT
1596441600000,0.0034101,0.0034349,0.003385,0.0033923,39636235.0,1596448799999,135094.4826588,752,16023824.0,54633.1357221,0,DOGEUSDT
1596448800000,0.0033936,0.0034099,0.0033635,0.0033899,67647031.0,1596455999999,229266.4395206,847,28906665.0,98000.4610423,0,DOGEUSDT
1596456000000,0.003386,0.0034077,0.0033604,0.0034067,68805956.0,1596463199999,232555.7683699,887,37872254.0,128087.7876254,0,DOGEUSDT
1596463200000,0.0034015,0.0034206,0.0033887,0.0034185,85346470.0,1596470399999,290718.9060708,1185,58593059.0,199625.6248238,0,DOGEUSDT
1596470400000,0.0034185,0.0034433,0.0033779,0.0033973,89086074.0,1596477599999,304141.9753662,1262,49060385.0,167635.0643666,0,DOGEUSDT
1596477600000,0.0033973,0.0034026,0.003378,0.0033933,46355965.0,1596484799999,157253.0328368,537,28277844.0,95980.8234228,0,DOGEUSDT
1596484800000,0.0033948,0.003421,0.0033706,0.0033739,59038988.0,1596491999999,200676.4212054,878,31668261.0,107683.753336,0,DOGEUSDT
1596492000000,0.003372,0.0034066,0.0033661,0.0033818,35817123.0,1596499199999,121169.9390672,551,16042877.0,54306.8785287,0,DOGEUSDT
1596499200000,0.0033828,0.0034576,0.0033765,0.0034236,109276448.0,1596506399999,372723.5162533,1833,55958421.0,190915.9371934,0,DOGEUSDT
1596506400000,0.0034258,0.0034381,0.0033608,0.0033803,82101939.0,1596513599999,278487.461103,1094,37653616.0,127747.0089829,0,DOGEUSDT
1596513600000,0.0033849,0.0034111,0.0033754,0.0033846,40723084.0,1596520799999,138128.0916425,619,19660067.0,66731.5188928,0,DOGEUSDT
1596520800000,0.0033855,0.0033903,0.0033704,0.0033729,28543031.0,1596527999999,96459.0981053,420,9307318.0,31469.3320537,0,DOGEUSDT
1596528000000,0.0033773,0.0035396,0.003365,0.0035138,198987559.0,1596535199999,688708.4571219,2883,109059647.0,377702.3014459,0,DOGEUSDT
1596535200000,0.003514,0.0035375,0.0034269,0.00345,266555591.0,1596542399999,929348.4400615,3734,135271859.0,471309.5023911,0,DOGEUSDT
1596542400000,0.00345,0.0034994,0.0033825,0.0033829,114291229.0,1596549599999,392203.5477601,1596,57650878.0,197962.001351,0,DOGEUSDT
1596549600000,0.0033863,0.0034611,0.0033826,0.0034523,60147295.0,1596556799999,205638.442126,944,28107173.0,96112.7096902,0,DOGEUSDT
1596556800000,0.0034523,0.00349,0.0034239,0.0034899,60729961.0,1596563999999,209370.5950159,711,36924780.0,127336.163849,0,DOGEUSDT
1596564000000,0.0034904,0.0034913,0.0034334,0.0034547,24609646.0,1596571199999,85165.8714038,478,11751836.0,40661.1309624,0,DOGEUSDT
1596571200000,0.0034544,0.0035295,0.00345,0.003508,159425684.0,1596578399999,557621.651888,2465,61587471.0,215618.1379855,0,DOGEUSDT
1596578400000,0.0035081,0.0035746,0.0035032,0.0035458,102049324.0,1596585599999,361144.1736156,1354,49717506.0,175833.7506397,0,DOGEUSDT
1596585600000,0.0035459,0.0035663,0.0035032,0.0035225,59639428.0,1596592799999,210662.766534,863,24227796.0,85633.7092022,0,DOGEUSDT
1596592800000,0.0035225,0.0035868,0.0035053,0.0035815,81563289.0,1596599999999,289274.9994168,1118,44298503.0,157117.6396634,0,DOGEUSDT
1596600000000,0.0035829,0.0035871,0.0035107,0.0035163,111324957.0,1596607199999,395312.7532042,1098,45213390.0,160622.5079519,0,DOGEUSDT
1596607200000,0.0035199,0.0035335,0.0035,0.0035,68958191.0,1596614399999,242149.3239484,769,35645991.0,125228.2218386,0,DOGEUSDT
1596614400000,0.0035039,0.0035402,0.0035017,0.0035338,99108412.0,1596621599999,349177.6581109,926,57418260.0,202234.0348291,0,DOGEUSDT
1596621600000,0.0035338,0.0035345,0.0035016,0.0035292,85541529.0,1596628799999,300664.4698927,796,51616268.0,181470.5338154,0,DOGEUSDT
1596628800000,0.003529,0.0035567,0.0035086,0.0035482,91788510.0,1596635999999,323941.4551169,967,53733647.0,189728.6681851,0,DOGEUSDT
1596636000000,0.0035483,0.0035578,0.0034774,0.0035013,173882681.0,1596643199999,613038.3554063,1693,90712283.0,320398.0328646,0,DOGEUSDT
1596643200000,0.003498,0.0035216,0.0034822,0.003517,99409918.0,1596650399999,347902.2182202,1044,45684309.0,160142.1499651,0,DOGEUSDT
1596650400000,0.0035184,0.0035235,0.0034942,0.0035067,31622235.0,1596657599999,110969.4231969,402,12008683.0,42168.0425475,0,DOGEUSDT
