open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,symbol
1596240000000,7.8025,7.888,7.727,7.8337,545477.47,1596247199999,4261250.257075,7816,264366.27,2065521.211875,0,LINKUSDT
1596247200000,7.8302,7.88,7.726,7.7519,490030.72,1596254399999,3818696.959819,6601,238809.76,1861207.812761,0,LINKUSDT
1596254400000,7.7504,7.8,7.6871,7.7542,522246.08,1596261599999,4047714.067561,10851,244723.74,1897433.934016,0,LINKUSDT
1596261600000,7.755,7.885,7.72,7.815,575487.01,1596268799999,4495817.890865,7878,306321.79,2393816.040353,0,LINKUSDT
1596268800000,7.8138,7.88,7.7929,7.8402,511548.51,1596275999999,4012292.032529,5918,242727.8,1903900.09209,0,LINKUSDT
1596276000000,7.8398,7.864,7.6911,7.7672,643639.38,1596283199999,4990175.881721,8980,320813.92,2487688.76974,0,LINKUSDT
1596283200000,7.7653,7.7698,7.6373,7.6579,488490.1,1596290399999,3761917.90628,6864,227516.13,1752276.470114,0,LINKUSDT
1596290400000,7.6546,7.7861,7.6414,7.7813,251693.31,1596297599999,1939972.312866,3447,123079.25,949295.608843,0,LINKUSDT
1596297600000,7.7813,7.8162,7.6983,7.7421,567525.09,1596304799999,4395721.914877,7353,280290.62,2172326.982634,0,LINKUSDT
1596304800000,7.7406,7.837,7.7176,7.8223,871423.18,1596311999999,6773302.197529,10604,419898.35,3265236.057216,0,LINKUSDT
1596312000000,7.8237,8.4324,7.7687,8.3616,2606879.98,1596319199999,21195463.169714,33974,1469027.06,11935723.013178,0,LINKUSDT
1596319200000,8.3648,8.472,8.2018,8.3248,1270635.57,1596326399999,10600702.01617,18334,628421.21,5243231.962193,0,LINKUSDT
1596326400000,8.3216,8.3879,8.2269,8.2604,1074788.09,1596333599999,8914021.374161,13385,540778.48,4484317.997978,0,LINKUSDT
1596333600000,8.2574,8.4071,8.2308,8.3481,783075.59,1596340799999,6530843.090349,9745,390329.97,3255438.085667,0,LINKUSDT
1596340800000,8.3491,8.4317,6.87,7.5644,3077692.62,1596347999999,23619174.203866,45243,1345608.23,10314479.68338,0,LINKUSDT
1596348000000,7.5664,8.3999,7.53,8.3137,2744943.18,1596355199999,22067947.619878,47864,1459244.94,11726892.596837,0,LINKUSDT
1596355200000,8.3175,8.7972,8.2023,8.7182,3710306.75,1596362399999,31837161.122117,60106,1971403.17,16909456.978472,0,LINKUSDT
1596362400000,8.7185,8.75,7.9,8.2571,2563980.84,1596369599999,21551756.205346,38496,1227989.99,10333503.238937,0,LINKUSDT
