open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,symbol
1597125600000,2.85,3.47,2.85,2.9224,62101.63,1597132799999,186599.124921,739,23866.78,72000.300487,0,SOLUSDT
1597132800000,2.9626,3.0,2.85,2.8543,50651.99,1597139999999,148730.243896,439,18171.87,53408.593995,0,SOLUSDT
1597140000000,2.8566,3.1,2.8433,3.0497,39160.47,1597147199999,114012.79155,435,14659.38,43188.71319,0,SOLUSDT
1597147200000,3.0497,3.329,2.8625,3.2768,369808.97,1597154399999,1150799.434479,3096,178567.33,554841.444932,0,SOLUSDT
1597154400000,3.2787,3.5208,3.0744,3.19,533065.97,1597161599999,1749585.927301,4063,265219.89,870964.813856,0,SOLUSDT
1597161600000,3.1751,3.384,3.1143,3.2978,172518.77,1597168799999,563700.944673,1591,94189.99,308379.104691,0,SOLUSDT
1597168800000,3.3,3.3047,3.155,3.1886,81531.45,1597175999999,263053.669775,733,32482.88,104817.671694,0,SOLUSDT
1597176000000,3.1938,3.2495,2.95,3.2184,165454.77,1597183199999,510763.90204,1403,70560.84,219923.057944,0,SOLUSDT
1597183200000,3.2128,3.3191,3.08,3.2985,78090.76,1597190399999,251902.899472,991,44051.83,142668.98033,0,SOLUSDT
1597190400000,3.2985,3.32,3.08,3.232,134009.51,1597197599999,427813.1765,1183,53160.8,170001.042204,0,SOLUSDT
1597197600000,3.2311,3.3,3.1129,3.2802,92267.12,1597204799999,295635.415508,913,48994.91,157633.895273,0,SOLUSDT
1597204800000,3.2802,3.2953,3.15,3.2296,58148.94,1597211999999,186776.860728,1046,30107.19,96579.407477,0,SOLUSDT
1597212000000,3.2192,3.3661,3.1323,3.3661,130295.99,1597219199999,421437.070724,1481,77340.26,250109.68117,0,SOLUSDT
1597219200000,3.3577,3.7,3.35,3.6669,418390.58,1597226399999,1461785.076431,3797,223811.33,780180.315455,0,SOLUSDT
1597226400000,3.668,3.9289,3.5015,3.6842,376806.14,1597233599999,1413461.024469,4813,187257.51,702355.03214,0,SOLUSDT
1597233600000,3.6733,3.8554,3.6434,3.745,151701.13,1597240799999,566424.725152,2006,73149.34,273455.226015,0,SOLUSDT
1597240800000,3.7573,3.9,3.7,3.7678,115840.84,1597247999999,437554.68247,1659,72154.42,273105.562056,0,SOLUSDT
1597248000000,3.7704,3.7889,3.65,3.7446,114116.84,1597255199999,423405.070578,1395,54374.84,201496.492892,0,SOLUSDT
1597255200000,3.7195,3.8423,3.6,3.6788,59394.66,1597262399999,220649.106812,1196,24244.4,90508.799696,0,SOLUSDT
1597262400000,3.6788,3.794,3.6652,3.7207,41194.31,1597269599999,153484.553348,758,20957.12,78237.336136,0,SOLUSDT
1597269600000,3.7208,3.8225,3.6729,3.7558,44876.89,1597276799999,167726.961918,871,23581.38,88281.478303,0,SOLUSDT
1597276800000,3.75,3.8512,3.6886,3.7601,87716.47,1597283999999,330493.209777,1092,30369.9,114493.616706,0,SOLUSDT
1597284000000,3.7729,3.8128,3.5537,3.7593,98486.66,1597291199999,364595.851394,1498,28253.13,104330.108411,0,SOLUSDT
1597291200000,3.7404,3.9364,3.6243,3.7458,171890.78,1597298399999,652571.211255,2890,84897.38,324080.476864,0,SOLUSDT
1597298400000,3.7547,4.1387,3.7249,4.0785,163136.73,1597305599999,649263.722548,2233,94711.45,376581.913447,0,SOLUSDT
1597305600000,4.0946,4.1222,3.5003,3.8387,406480.36,1597312799999,1547153.054889,4434,167125.13,640064.139646,0,SOLUSDT
1597312800000,3.8417,3.9999,3.759,3.87,141613.61,1597319999999,547172.216977,1906,52439.88,202946.598436,0,SOLUSDT
1597320000000,3.87,3.9764,3.8103,3.9453,140700.02,1597327199999,546949.683978,1859,62945.92,245221.429174,0,SOLUSDT
1597327200000,3.9734,4.0555,3.8,3.8065,116299.52,1597334399999,457793.834818,1586,52569.65,207598.960495,0,SOLUSDT
1597334400000,3.8065,3.9645,3.7698,3.8118,104345.49,1597341599999,400534.246377,1808,45623.72,175551.893703,0,SOLUSDT
1597341600000,3.8225,3.8699,3.79,3.8566,39753.89,1597348799999,152162.339588,569,18244.03,69960.17381,0,SOLUSDT
1597348800000,3.8549,3.87,3.6068,3.6356,127827.94,1597355999999,477453.196184,1672,47588.64,178618.408643,0,SOLUSDT
1597356000000,3.6229,3.8118,3.5385,3.73,87507.77,1597363199999,320425.412705,1375,31589.63,116317.028671,0,SOLUSDT
1597363200000,3.7207,3.7676,3.6068,3.6348,83646.81,1597370399999,305851.203702,965,26351.05,96453.725262,0,SOLUSDT
1597370400000,3.6348,3.6511,3.5717,3.625,101422.7,1597377599999,365292.189941,1091,37001.31,133236.754565,0,SOLUSDT
1597377600000,3.6251,3.7517,3.59,3.6759,85006.38,1597384799999,310426.002025,1003,39279.87,142932.638559,0,SOLUSDT
1597384800000,3.6758,3.6924,3.5,3.55,136766.29,1597391999999,491285.51998,1769,43229.23,155756.676029,0,SOLUSDT
1597392000000,3.5327,3.5613,3.4267,3.5111,209220.02,1597399199999,730152.131328,2477,89052.41,310694.575338,0,SOLUSDT
1597399200000,3.5111,3.7598,3.5111,3.7173,168947.46,1597406399999,617111.871754,2380,91557.9,334457.69629,0,SOLUSDT
1597406400000,3.7036,3.7133,3.5106,3.5711,128866.46,1597413599999,460743.935391,1410,59031.59,210584.865159,0,SOLUSDT
1597413600000,3.559,3.7,3.54,3.5788,80599.35,1597420799999,289656.969584,1185,40590.14,146211.317643,0,SOLUSDT
1597420800000,3.5753,3.5881,3.327,3.4031,182152.35,1597427999999,627716.736769,2199,40163.4,137710.937248,0,SOLUSDT
1597428000000,3.3947,3.4385,3.321,3.3792,155107.12,1597435199999,522376.289866,1930,68911.19,231784.347119,0,SOLUSDT
1597435200000,3.3792,3.4693,3.3598,3.4528,56195.13,1597442399999,192216.646356,994,17874.79,61422.573552,0,SOLUSDT
1597442400000,3.466,3.4897,3.3321,3.4099,86231.72,1597449599999,293004.599281,1178,25608.96,87650.548703,0,SOLUSDT
1597449600000,3.4181,3.4242,3.1874,3.2782,138848.87,1597456799999,455965.95011,1675,34059.06,112201.750574,0,SOLUSDT
1597456800000,3.2783,3.3485,3.2783,3.3289,55574.54,1597463999999,184416.20279,795,30588.55,101547.090087,0,SOLUSDT
1597464000000,3.3305,3.5713,3.163,3.4199,229170.7,1597471199999,772669.994022,2685,124050.85,421390.488262,0,SOLUSDT
1597471200000,3.42,3.5621,3.4098,3.5215,96029.41,1597478399999,335301.103804,1427,43999.23,153699.933127,0,SOLUSDT
1597478400000,3.5216,3.74,3.5215,3.6886,141217.05,1597485599999,510643.195579,1579,79832.81,289937.275283,0,SOLUSDT
1597485600000,3.6886,3.7,3.4477,3.45,122035.44,1597492799999,436141.015279,1089,21784.54,77271.162409,0,SOLUSDT
1597492800000,3.4527,3.4852,3.38,3.4044,75156.55,1597499999999,258586.005406,949,26048.38,89953.817859,0,SOLUSDT
1597500000000,3.4167,3.4697,3.4054,3.4324,22652.56,1597507199999,77945.64733,493,12173.06,41935.420111,0,SOLUSDT
1597507200000,3.4547,3.4654,3.3949,3.3949,24361.56,1597514399999,83697.437074,446,8564.64,29434.848339,0,SOLUSDT
1597514400000,3.4143,3.438,3.34,3.3684,46879.8,1597521599999,158621.288612,673,15872.78,53866.168013,0,SOLUSDT
1597521600000,3.3684,3.4727,3.18,3.2463,60484.41,1597528799999,198348.467764,1135,19917.31,66060.567211,0,SOLUSDT
1597528800000,3.2347,3.2738,3.15,3.173,57822.31,1597535999999,185669.314432,957,22732.76,73174.208293,0,SOLUSDT
1597536000000,3.173,3.2602,3.17,3.2046,79197.06,1597543199999,254368.142621,957,19137.48,61588.672738,0,SOLUSDT
1597543200000,3.1855,3.2384,3.12,3.1955,90509.77,1597550399999,287534.304067,1319,31014.04,98458.961325,0,SOLUSDT
1597550400000,3.192,3.4907,3.1697,3.3178,113645.4,1597557599999,379183.435424,1812,53096.09,178317.536622,0,SOLUSDT
1597557600000,3.3076,3.47,3.3,3.4401,81844.9,1597564799999,277106.235746,1605,35104.94,119028.885983,0,SOLUSDT
1597564800000,3.4401,3.4626,3.3455,3.3957,46515.85,1597571999999,157171.248496,794,14920.47,50510.151257,0,SOLUSDT
1597572000000,3.392,3.47,3.34,3.4193,66383.82,1597579199999,225832.646824,1050,18918.78,64470.039206,0,SOLUSDT
1597579200000,3.4193,3.4427,3.34,3.3594,43983.03,1597586399999,148141.071914,726,19065.68,64156.772318,0,SOLUSDT
1597586400000,3.348,3.4339,3.348,3.3872,45760.58,1597593599999,154963.221968,580,29769.95,100907.091282,0,SOLUSDT
1597593600000,3.3911,3.4628,3.379,3.4469,39867.82,1597600799999,136980.291978,674,18577.43,63859.637271,0,SOLUSDT
1597600800000,3.4469,3.4726,3.4039,3.4071,25857.03,1597607999999,89162.558919,425,9859.0,34101.039363,0,SOLUSDT
1597608000000,3.4115,3.4426,3.3638,3.3756,21746.7,1597615199999,74084.178277,516,10658.94,36304.934014,0,SOLUSDT
1597615200000,3.3913,3.397,3.36,3.3885,12794.57,1597622399999,43188.291576,201,7316.68,24720.497126,0,SOLUSDT
1597622400000,3.3885,3.3952,3.351,3.3549,35737.03,1597629599999,120337.109253,420,11770.33,39662.804934,0,SOLUSDT
1597629600000,3.3549,3.3738,3.3235,3.3502,51738.98,1597636799999,173410.059406,495,12485.36,41881.08488,0,SOLUSDT
1597636800000,3.3551,3.3666,3.2481,3.2825,103629.21,1597643999999,341650.358568,1063,27537.19,90984.703858,0,SOLUSDT
1597644000000,3.2683,3.2892,3.2,3.2001,69852.53,1597651199999,226322.787424,929,28270.26,91910.704877,0,SOLUSDT
1597651200000,3.2034,3.3234,3.2002,3.28,68874.71,1597658399999,225648.826756,873,27511.83,90276.345099,0,SOLUSDT
1597658400000,3.2789,3.3,3.2669,3.2891,31527.12,1597665599999,103386.832092,322,15099.84,49586.380462,0,SOLUSDT
1597665600000,3.2891,3.2934,3.15,3.2222,62964.56,1597672799999,203015.574518,896,19399.02,62779.278831,0,SOLUSDT
1597672800000,3.229,3.2421,3.1,3.1264,111324.34,1597679999999,350216.983563,1391,29169.06,91912.343541,0,SOLUSDT
1597680000000,3.1347,3.215,3.1115,3.157,75599.8,1597687199999,239034.309406,1008,34182.24,108151.892743,0,SOLUSDT
1597687200000,3.157,3.1694,3.11,3.1541,60275.02,1597694399999,189617.230883,524,31333.23,98616.857718,0,SOLUSDT
1597694400000,3.1546,3.2,3.1461,3.193,15846.65,1597701599999,50226.934338,252,8785.16,27879.201628,0,SOLUSDT
1597701600000,3.1932,3.2,3.1,3.11,42043.69,1597708799999,132462.781423,459,12648.37,39962.831246,0,SOLUSDT
1597708800000,3.11,3.1172,3.0,3.0241,132508.44,1597715999999,403309.833895,1514,49856.67,151843.275643,0,SOLUSDT
1597716000000,3.015,3.1277,3.01,3.0328,110579.31,1597723199999,339132.215142,1103,51342.59,157809.172293,0,SOLUSDT
1597723200000,3.0208,3.0671,3.0,3.0122,58506.9,1597730399999,177006.083046,579,28597.16,86531.78149,0,SOLUSDT
1597730400000,3.0085,3.0197,2.878,2.99,158761.41,1597737599999,468125.797594,2009,57477.39,169293.440836,0,SOLUSDT
1597737600000,2.99,3.25,2.91,3.1785,196606.78,1597744799999,609614.499537,2358,88514.25,274478.595932,0,SOLUSDT
1597744800000,3.1608,3.2477,3.05,3.0672,112514.14,1597751999999,355055.054472,1277,31300.1,98865.491443,0,SOLUSDT
1597752000000,3.0501,3.0968,2.9002,2.9472,85788.54,1597759199999,258958.196329,1028,32704.05,99294.598066,0,SOLUSDT
1597759200000,2.936,3.7092,2.8105,3.3621,1288441.43,1597766399999,4335125.96902,9989,654489.23,2210631.294641,0,SOLUSDT
1597766400000,3.3777,3.4891,3.258,3.381,313894.79,1597773599999,1056738.537619,4145,157474.01,529826.675159,0,SOLUSDT
1597773600000,3.3913,3.5832,3.365,3.5289,104054.63,1597780799999,360444.953385,1407,59644.21,207097.44089,0,SOLUSDT
1597780800000,3.5289,3.5543,3.4088,3.4511,77273.13,1597787999999,269925.228853,1156,38509.76,134778.398565,0,SOLUSDT
1597788000000,3.4511,3.478,3.32,3.3407,74186.44,1597795199999,251869.764332,850,26689.86,90927.568974,0,SOLUSDT
1597795200000,3.334,3.49,3.3335,3.4691,99204.06,1597802399999,339916.689477,1197,34480.9,118795.136265,0,SOLUSDT
1597802400000,3.4842,3.4872,3.0814,3.1075,190921.24,1597809599999,622622.87565,1914,56725.46,184259.673426,0,SOLUSDT
1597809600000,3.1001,3.1427,2.8667,2.9242,251799.82,1597816799999,754034.381391,3068,81413.59,244808.529604,0,SOLUSDT
1597816800000,2.9121,3.0732,2.8,3.0375,176819.23,1597823999999,520647.036776,2151,60130.08,178584.475317,0,SOLUSDT
1597824000000,3.0376,3.1799,3.0375,3.1099,109807.11,1597831199999,341815.58397,1348,43472.27,135670.958144,0,SOLUSDT
1597831200000,3.0987,3.1099,3.0,3.01,55263.23,1597838399999,167860.4517,695,15963.34,48382.608215,0,SOLUSDT
1597838400000,3.01,3.1307,3.0,3.0395,87012.31,1597845599999,266067.975834,918,36514.89,112062.673597,0,SOLUSDT
1597845600000,3.0331,3.0894,2.98,3.008,110285.13,1597852799999,333331.153487,1219,31008.76,94005.751058,0,SOLUSDT
1597852800000,2.9955,3.0291,2.9012,3.0023,89682.33,1597859999999,266542.132082,1105,26085.59,77613.073939,0,SOLUSDT
1597860000000,2.9936,3.0088,2.93,2.9404,90865.44,1597867199999,269598.376377,1143,40074.4,119110.603515,0,SOLUSDT
1597867200000,2.9407,2.9729,2.82,2.9012,127366.34,1597874399999,369063.195806,1802,45695.82,132915.52405,0,SOLUSDT
1597874400000,2.9038,2.9735,2.8769,2.8868,44217.52,1597881599999,128903.636274,516,15680.18,45740.568833,0,SOLUSDT
1597881600000,2.8962,3.053,2.8871,3.0171,72899.45,1597888799999,217290.585325,945,34184.09,101495.340839,0,SOLUSDT
1597888800000,3.0178,3.0355,2.9122,2.9291,40685.33,1597895999999,121655.041322,437,11424.71,34201.466101,0,SOLUSDT
1597896000000,2.9291,2.9878,2.92,2.9382,50786.26,1597903199999,150000.340466,410,14715.9,43517.320839,0,SOLUSDT
1597903200000,2.943,3.0493,2.9228,2.998,61810.26,1597910399999,185120.395471,837,38215.62,114511.287016,0,SOLUSDT
1597910400000,2.9955,3.17,2.9895,3.1623,147099.84,1597917599999,452783.563097,1504,60224.3,185803.062977,0,SOLUSDT
1597917600000,3.1623,3.1898,3.109,3.1508,84182.47,1597924799999,264526.741328,995,43463.72,136594.519482,0,SOLUSDT
1597924800000,3.151,3.1899,3.109,3.1638,58978.51,1597931999999,185844.578805,736,21942.31,69205.345254,0,SOLUSDT
1597932000000,3.1638,3.35,3.1616,3.3254,166181.51,1597939199999,535876.15492,1539,95300.36,308692.339955,0,SOLUSDT
1597939200000,3.3441,3.445,3.18,3.3563,284754.17,1597946399999,950888.773296,3454,171986.76,574771.758443,0,SOLUSDT
1597946400000,3.3568,3.36,3.25,3.3261,84870.73,1597953599999,279852.5787,1183,33481.94,110396.362238,0,SOLUSDT
1597953600000,3.3333,3.4106,3.2384,3.2818,145528.14,1597960799999,476819.909801,1167,91470.5,299382.477201,0,SOLUSDT
1597960800000,3.2716,3.3,3.1461,3.2038,80050.65,1597967999999,257581.668951,962,37903.03,122111.004981,0,SOLUSDT
1597968000000,3.2038,3.2134,3.1104,3.1723,103076.49,1597975199999,327316.485924,855,23793.29,75402.934246,0,SOLUSDT
1597975200000,3.1704,3.24,3.132,3.16,108424.1,1597982399999,344868.952937,1206,46250.98,146807.807639,0,SOLUSDT
1597982400000,3.1599,3.2168,3.0,3.0627,149122.31,1597989599999,464848.962564,1677,37051.68,116969.405396,0,SOLUSDT
1597989600000,3.0591,3.1094,3.0393,3.0718,98194.14,1597996799999,301554.338434,926,44360.96,136394.561505,0,SOLUSDT
1597996800000,3.0617,3.1377,3.06,3.1086,66265.45,1598003999999,205602.558162,795,28733.23,89326.784827,0,SOLUSDT
1598004000000,3.1076,3.12,3.0185,3.0918,122045.02,1598011199999,374222.196638,1369,27640.9,84959.772895,0,SOLUSDT
1598011200000,3.0918,3.0989,3.0,3.017,121225.56,1598018399999,368616.487279,1662,58587.08,178304.13478,0,SOLUSDT
1598018400000,3.017,3.1636,2.9738,3.0127,115580.65,1598025599999,352976.266026,1252,70856.88,216643.231271,0,SOLUSDT
1598025600000,3.0149,3.0706,3.0,3.0553,36243.18,1598032799999,109787.238087,537,13282.03,40359.568891,0,SOLUSDT
1598032800000,3.0553,3.0812,2.9877,3.0483,45158.28,1598039999999,136619.4742,489,20056.05,60827.563014,0,SOLUSDT
1598040000000,3.0483,3.1137,2.89,2.9378,94914.04,1598047199999,282151.533273,1586,48497.81,145025.591449,0,SOLUSDT
1598047200000,2.9376,3.0006,2.921,2.9317,71646.68,1598054399999,211778.181416,603,16844.15,49903.898813,0,SOLUSDT
1598054400000,2.9213,2.9386,2.8,2.8315,123007.65,1598061599999,350185.108789,1150,26295.39,74822.681354,0,SOLUSDT
1598061600000,2.83,2.8596,2.8008,2.814,103767.85,1598068799999,293139.448444,822,49892.78,141148.943179,0,SOLUSDT
1598068800000,2.82,2.8313,2.7431,2.8249,87325.61,1598075999999,243527.623974,888,48500.75,135115.17513,0,SOLUSDT
1598076000000,2.8197,2.8463,2.7452,2.805,172602.37,1598083199999,480065.980288,1396,72247.66,200904.006059,0,SOLUSDT
1598083200000,2.8029,2.8411,2.7876,2.834,68274.61,1598090399999,192586.453978,527,21560.52,60789.033842,0,SOLUSDT
1598090400000,2.826,2.8655,2.8253,2.8599,39928.12,1598097599999,113861.797508,439,23333.37,66612.91011,0,SOLUSDT
1598097600000,2.8599,3.16,2.8586,3.1121,311639.44,1598104799999,953794.859078,2322,154899.3,472669.262726,0,SOLUSDT
1598104800000,3.1121,3.1379,3.03,3.061,79425.2,1598111999999,243460.95486,776,42817.16,131270.528725,0,SOLUSDT
1598112000000,3.0601,3.2,3.0499,3.118,75112.59,1598119199999,233741.972183,821,48837.81,152252.880531,0,SOLUSDT
1598119200000,3.12,3.1577,3.039,3.0536,35726.03,1598126399999,110571.380713,437,14987.25,46560.898835,0,SOLUSDT
1598126400000,3.0536,3.0661,2.979,3.0331,48555.79,1598133599999,146284.743657,677,24411.13,73470.71993,0,SOLUSDT
1598133600000,3.0333,3.0427,3.0108,3.0126,24052.52,1598140799999,72776.870264,172,7827.67,23718.739475,0,SOLUSDT
1598140800000,3.0224,3.1003,3.0014,3.1003,62126.86,1598147999999,189129.202117,552,33623.93,102518.125798,0,SOLUSDT
1598148000000,3.1019,3.2857,3.0922,3.1121,163913.89,1598155199999,522447.292939,1664,101304.17,323201.291006,0,SOLUSDT
1598155200000,3.1122,3.2111,3.0483,3.0501,88599.99,1598162399999,275509.357185,759,51163.1,159511.197744,0,SOLUSDT
1598162400000,3.0641,3.1306,3.06,3.0723,71492.57,1598169599999,221769.682844,778,43213.81,133913.534728,0,SOLUSDT
1598169600000,3.07,3.0707,3.0258,3.0638,47531.44,1598176799999,144418.712366,278,25687.66,78026.562183,0,SOLUSDT
1598176800000,3.0601,3.0782,3.0303,3.034,47292.42,1598183999999,144440.699893,447,20380.09,62359.555892,0,SOLUSDT
1598184000000,3.034,3.0751,3.0073,3.0419,44127.78,1598191199999,134278.856896,442,24728.99,75372.722069,0,SOLUSDT
1598191200000,3.0391,3.1301,3.0391,3.1301,58414.26,1598198399999,180434.042911,542,32100.46,99268.359155,0,SOLUSDT
1598198400000,3.1299,3.35,3.1105,3.276,327944.71,1598205599999,1078275.07646,2555,208370.19,685053.039803,0,SOLUSDT
1598205600000,3.276,3.4,3.276,3.3917,105376.46,1598212799999,353941.83128,1050,64282.14,216201.222109,0,SOLUSDT
1598212800000,3.399,3.4,3.1949,3.3915,127592.78,1598219999999,422855.802518,1627,67087.06,223312.439294,0,SOLUSDT
1598220000000,3.3923,3.4,3.25,3.25,53623.53,1598227199999,178750.138961,761,30034.84,100427.625618,0,SOLUSDT
1598227200000,3.2658,3.2856,3.2144,3.2715,32334.4,1598234399999,104995.852663,419,14902.9,48448.545731,0,SOLUSDT
1598234400000,3.2795,3.3711,3.2794,3.285,58374.58,1598241599999,194240.966322,661,25144.49,83836.143295,0,SOLUSDT
1598241600000,3.285,3.3181,3.2572,3.3125,50319.76,1598248799999,165087.171094,498,26512.35,86963.71629,0,SOLUSDT
1598248800000,3.3125,3.4849,3.305,3.4479,164947.19,1598255999999,564479.045958,1673,96846.59,331233.841227,0,SOLUSDT
1598256000000,3.4478,3.62,3.408,3.5429,243554.67,1598263199999,863326.413382,2613,127184.09,450784.534907,0,SOLUSDT
1598263200000,3.5429,3.56,3.326,3.4632,197470.44,1598270399999,679369.196135,2635,93011.27,320110.177104,0,SOLUSDT
1598270400000,3.4707,3.5727,3.4594,3.5727,70059.25,1598277599999,245934.177541,869,43445.51,152890.003082,0,SOLUSDT
1598277600000,3.5727,3.5727,3.3888,3.4696,106585.25,1598284799999,371013.438859,1269,38620.39,135159.960405,0,SOLUSDT
1598284800000,3.4696,3.5363,3.4384,3.5265,98589.38,1598291999999,345153.936628,1000,64470.26,226266.430854,0,SOLUSDT
1598292000000,3.5084,3.5324,3.25,3.2812,152074.56,1598299199999,508941.907797,1756,59673.16,199848.665385,0,SOLUSDT
1598299200000,3.2768,3.3244,3.21,3.28,69015.2,1598306399999,226177.238414,1039,24655.25,81006.24347,0,SOLUSDT
1598306400000,3.28,3.356,3.23,3.3405,71871.38,1598313599999,236120.072425,885,19745.93,65025.481358,0,SOLUSDT
1598313600000,3.3406,3.3654,3.291,3.333,73186.8,1598320799999,243865.285083,692,28098.18,93651.647364,0,SOLUSDT
1598320800000,3.3331,3.3406,3.1421,3.1503,154337.91,1598327999999,494406.291669,1509,42575.91,136010.514355,0,SOLUSDT
1598328000000,3.1506,3.2259,3.1362,3.2229,68761.16,1598335199999,219242.924997,750,20461.68,65469.577952,0,SOLUSDT
1598335200000,3.2108,3.2229,3.0601,3.1508,98266.19,1598342399999,307515.949127,1433,30101.26,94154.82405,0,SOLUSDT
1598342400000,3.15,3.2338,3.0691,3.22,95621.22,1598349599999,300395.05954,1429,34644.16,108944.765123,0,SOLUSDT
1598349600000,3.2337,3.2379,3.1454,3.18,48599.64,1598356799999,154619.060357,762,14250.14,45416.001511,0,SOLUSDT
1598356800000,3.18,3.2294,3.1298,3.142,118483.97,1598363999999,376445.101391,1396,66478.12,211582.143527,0,SOLUSDT
1598364000000,3.142,3.142,3.0001,3.11,157082.08,1598371199999,482140.436635,1951,65255.77,200726.219099,0,SOLUSDT
1598371200000,3.11,3.1419,3.0544,3.1011,131658.63,1598378399999,408737.702301,1508,74205.65,230734.951118,0,SOLUSDT
1598378400000,3.0949,3.2495,3.0445,3.12,120326.14,1598385599999,378550.126467,1788,61623.12,194043.669362,0,SOLUSDT
1598385600000,3.1215,3.1309,3.1,3.1099,25937.82,1598392799999,80628.66312,297,11923.37,37091.194769,0,SOLUSDT
1598392800000,3.124,3.2854,3.1099,3.25,56925.81,1598399999999,183344.157267,711,27411.51,88407.751816,0,SOLUSDT
