open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,symbol
1597773600000,2.09,4.44,2.0,3.1,6039881.97,1597795199999,18375373.392336,22593,3458952.5,10596741.994704,0,DOTUSDT
1597795200000,3.1,3.14,2.64,2.9255,7736437.45,1597816799999,23016492.95499,31902,4402897.01,13151439.067531,0,DOTUSDT
1597816800000,2.9255,3.1999,2.9,3.0,4211963.59,1597838399999,12945679.968348,20141,2564961.33,7905165.89654,0,DOTUSDT
1597838400000,3.0,3.0298,2.9,2.982,2233238.93,1597859999999,6612889.92172,11341,1173874.21,3479915.621598,0,DOTUSDT
1597860000000,2.983,3.035,2.72,2.95,1714134.95,1597881599999,4983258.788196,11691,895649.44,2615851.642131,0,DOTUSDT
1597881600000,2.9449,2.999,2.6759,2.7344,1979340.37,1597903199999,5544479.657311,10475,919555.03,2576737.163041,0,DOTUSDT
1597903200000,2.7345,2.915,2.6833,2.8715,1964731.92,1597924799999,5567489.054934,10337,1081009.24,3062410.582809,0,DOTUSDT
1597924800000,2.8715,3.1111,2.8,3.0286,2916263.18,1597946399999,8638578.262178,13153,1715378.64,5096342.365745,0,DOTUSDT
1597946400000,3.0289,3.029,2.6,2.9,4180528.13,1597967999999,11706863.892394,19832,1473652.93,4154595.76075,0,DOTUSDT
1597968000000,2.8978,2.957,2.6826,2.8641,2728310.06,1597989599999,7744666.349729,11574,1599113.03,4539787.0225,0,DOTUSDT
1597989600000,2.8679,3.09,2.84,2.8951,3077575.44,1598011199999,9130353.534761,13845,1517748.19,4516395.916783,0,DOTUSDT
1598011200000,2.8954,2.9717,2.8311,2.9375,1653383.41,1598032799999,4813931.641899,10438,866602.45,2524331.224285,0,DOTUSDT
1598032800000,2.9347,3.028,2.82,2.833,2305884.83,1598054399999,6704584.327095,14521,1180561.51,3449546.731169,0,DOTUSDT
1598054400000,2.8387,2.96,2.782,2.9301,1512661.18,1598075999999,4340162.603246,10083,720512.02,2071482.522721,0,DOTUSDT
1598076000000,2.9354,4.019,2.9015,3.8153,17260989.69,1598097599999,62244932.803076,101639,10378435.77,37376740.776814,0,DOTUSDT
1598097600000,3.8205,4.19,3.501,4.1582,13079754.24,1598119199999,50042860.999678,97210,6995643.62,26852957.187992,0,DOTUSDT
1598119200000,4.1646,4.55,3.9333,4.4546,9758071.4,1598140799999,41410942.359092,80247,5332668.74,22667415.627826,0,DOTUSDT
1598140800000,4.4756,4.4864,4.0202,4.1473,6053517.37,1598162399999,25600836.440728,56905,2842235.97,12013796.278027,0,DOTUSDT
1598162400000,4.1473,4.2691,3.717,3.7399,6526899.02,1598183999999,26119317.925641,47082,2983011.42,11953213.100261,0,DOTUSDT
1598184000000,3.7418,3.9736,3.7032,3.7676,7283343.93,1598205599999,27891057.642532,43573,3714280.75,14224650.524832,0,DOTUSDT
1598205600000,3.7633,4.1285,3.7525,3.9779,3981549.33,1598227199999,15817774.252764,27931,2220225.91,8822029.03781,0,DOTUSDT
1598227200000,3.9805,4.0416,3.78,3.969,4230035.84,1598248799999,16539143.694482,27634,2442616.36,9551080.850258,0,DOTUSDT
1598248800000,3.9688,4.1601,3.9001,4.1541,5794611.74,1598270399999,23437691.934657,40952,3568361.31,14442707.906562,0,DOTUSDT
1598270400000,4.1541,4.4999,4.1,4.4251,8433712.65,1598291999999,36139363.50929,59233,4604252.97,19715587.360916,0,DOTUSDT
1598292000000,4.4276,4.7983,4.275,4.5759,7385592.89,1598313599999,33730389.517284,61222,3986101.49,18177075.137672,0,DOTUSDT
1598313600000,4.5759,4.9947,4.48,4.8531,7950620.58,1598335199999,38132915.369435,65202,4474010.4,21479458.513519,0,DOTUSDT
1598335200000,4.8589,4.98,4.525,4.9248,7506270.77,1598356799999,35644395.969123,62089,4175226.14,19847468.325458,0,DOTUSDT
1598356800000,4.9301,5.4234,4.6188,5.356,13237936.56,1598378399999,66172235.944435,106409,6868222.27,34397510.140311,0,DOTUSDT
1598378400000,5.365,5.77,5.175,5.5412,10762542.08,1598399999999,58679517.177098,102197,6071145.53,33139983.954931,0,DOTUSDT
1598400000000,5.5412,5.685,5.3,5.3152,7037385.68,1598421599999,38628518.501829,56247,4256528.36,23379673.498434,0,DOTUSDT
1598421600000,5.3152,5.7432,5.1015,5.421,7963656.46,1598443199999,43128334.965976,65828,4651988.49,25236608.201384,0,DOTUSDT
1598443200000,5.4255,6.57,5.3359,6.33,14308789.7,1598464799999,86718889.610945,124083,8117860.55,49167792.28582,0,DOTUSDT
1598464800000,6.3285,6.4183,5.8022,6.0708,8501687.9,1598486399999,52288566.889236,76851,5168719.23,31820585.578931,0,DOTUSDT
1598486400000,6.0708,6.42,5.992,6.1724,5613804.91,1598507999999,34800964.389696,49379,3085997.74,19125803.629091,0,DOTUSDT
1598508000000,6.1691,6.8,5.6055,5.7465,16027376.46,1598529599999,99799046.380245,122395,7871584.15,49151506.432914,0,DOTUSDT
1598529600000,5.7465,6.33,5.2001,5.5449,15939185.69,1598551199999,91420324.514141,124537,7579688.07,43530770.461489,0,DOTUSDT
