open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,symbol
1596240000000,346.32,358.33,343.07,355.59,299099.26526,1596261599999,105076520.9047137,123144,166727.49859,58583497.9667173,0,ETHUSDT
1596261600000,355.6,360.52,352.0,356.13,269176.94268,1596283199999,95906935.5472594,115588,135259.29383,48206713.7260784,0,ETHUSDT
1596283200000,356.13,373.5,352.79,373.25,338348.36308,1596304799999,122565490.8980837,143904,189871.92171,68846675.0444144,0,ETHUSDT
1596304800000,373.2,392.67,363.75,387.0,534218.77101,1596326399999,203994497.51282728,216264,272066.89153,103948996.6597916,0,ETHUSDT
1596326400000,387.01,415.85,325.0,370.32,956072.71022,1596347999999,367878099.3285607,374803,480826.80179,185561086.9796136,0,ETHUSDT
1596348000000,370.37,382.62,354.32,361.55,551883.18829,1596369599999,204506145.2239814,242253,260369.23287,96629048.397593,0,ETHUSDT
1596369600000,361.64,388.61,357.5,384.73,499263.19709,1596391199999,186105221.088879,198319,252682.43003,94222997.2432157,0,ETHUSDT
1596391200000,384.73,386.87,368.1,372.42,317690.00056,1596412799999,119907570.656098,145460,153924.18454,58102502.8691359,0,ETHUSDT
1596412800000,372.45,385.82,366.5,384.45,233127.55507,1596434399999,88518803.7537643,115353,114432.08048,43452940.7341346,0,ETHUSDT
1596434400000,384.52,392.66,380.22,390.93,275311.66637,1596455999999,106202763.3451192,120771,144219.95641,55653977.1278958,0,ETHUSDT
1596456000000,390.97,398.0,386.55,394.97,420844.9853,1596477599999,165492517.544619,180116,210441.52611,82774520.9268397,0,ETHUSDT
1596477600000,394.99,396.0,379.91,385.94,262280.88715,1596499199999,101956502.8350002,118563,125095.12002,48647904.6033832,0,ETHUSDT
1596499200000,385.91,402.98,385.77,392.95,376334.12934,1596520799999,148669267.2694682,162106,188932.0393,74671020.8575004,0,ETHUSDT
1596520800000,392.94,397.21,381.58,385.8,311441.34355,1596542399999,121866435.4083546,124901,152198.22439,59597251.039533,0,ETHUSDT
1596542400000,385.8,392.55,380.77,389.76,329382.91892,1596563999999,127480203.8601099,136786,157580.64475,60994019.4742502,0,ETHUSDT
1596564000000,389.75,393.95,385.32,389.61,163634.03198,1596585599999,63778515.6669358,79542,81919.18968,31937092.8508692,0,ETHUSDT
1596585600000,389.59,392.0,384.11,391.4,189488.21337,1596607199999,73567414.8812688,79959,90190.34981,35022129.1309658,0,ETHUSDT
1596607200000,391.39,397.75,388.7,397.35,274506.58929,1596628799999,107830025.4907699,100417,140781.86694,55310070.3264185,0,ETHUSDT
1596628800000,397.34,402.0,390.22,397.26,368278.75295,1596650399999,146241186.2650726,153270,184354.579,73241345.8997902,0,ETHUSDT
